danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.693,0.936,6,-3.29,1,0.374,0.74,0.153,0.371,0.432,130.06,165692,4,Brazilian Funk
0.553,0.444,9,-7.667,1,0.123,0.07,0.00301,0.0762,0.344,127.414,187153,4,Brazilian Funk
0.776,0.77,9,-1.0,1,0.0329,0.00481,2.41e-05,0.249,0.865,129.97,144196,4,Brazilian Funk
0.782,0.475,8,-9.535,0,0.132,0.247,0.0,0.0785,0.441,94.928,247592,4,Brazilian Funk
0.734,0.228,7,-4.731,0,0.53,0.889,0.00642,0.102,0.522,162.524,221538,5,Brazilian Funk
0.701,0.678,7,-6.632,0,0.258,0.377,3.02e-05,0.0686,0.799,90.048,181333,4,Brazilian Funk
0.681,0.425,2,-3.946,0,0.182,0.858,0.000168,0.0967,0.501,89.645,133333,4,Brazilian Funk
0.785,0.416,5,-7.687,1,0.426,0.415,0.0,0.105,0.124,86.997,265234,4,Brazilian Funk
0.862,0.186,9,-4.745,1,0.443,0.781,0.0,0.146,0.852,86.58,81293,5,Brazilian Funk
0.805,0.352,4,-8.247,0,0.277,0.553,0.0,0.0835,0.723,139.829,377143,4,Brazilian Funk
0.685,0.687,10,-1.703,0,0.075,0.0197,0.0,0.215,0.233,129.958,203047,4,Brazilian Funk
0.924,0.66,2,-4.991,1,0.353,0.533,0.0,0.233,0.859,129.994,324986,4,Brazilian Funk
0.698,0.989,11,0.934,0,0.261,0.0291,7.23e-06,0.332,0.395,132.992,185414,4,Brazilian Funk
0.542,0.678,3,-3.402,0,0.116,0.866,1.25e-06,0.073,0.894,162.748,184615,5,Brazilian Funk
0.826,0.73,1,-3.032,1,0.0809,0.383,0.000374,0.0197,0.605,150.134,157600,4,Brazilian Funk
